read_position	deletion_count
0	0
1	0
2	980
3	12659
4	55265
5	26531
6	3908
7	1427
8	708
9	463
10	386
11	289
12	278
13	356
14	380
15	361
16	387
17	442
18	393
19	411
20	481
21	449
22	426
23	475
24	424
25	390
26	413
27	367
28	426
29	397
30	349
31	370
32	358
33	428
34	440
35	417
36	395
37	369
38	419
39	338
40	439
41	368
42	395
43	441
44	503
45	417
46	423
47	426
48	374
49	377
50	344
51	404
52	359
53	394
54	427
55	385
56	385
57	378
58	366
59	444
60	420
61	420
62	370
63	366
64	404
65	371
66	344
67	413
68	422
69	518
70	643
71	373
72	363
73	378
74	409
75	440
76	434
77	386
78	397
79	376
80	351
81	417
82	383
83	390
84	409
85	396
86	354
87	332
88	330
89	386
90	338
91	328
92	298
93	333
94	370
95	491
96	477
97	126
98	88
99	0
