-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	543
-100	-95	4264
-95	-90	4762
-90	-85	5190
-85	-80	5872
-80	-75	6467
-75	-70	7041
-70	-65	7633
-65	-60	8581
-60	-55	9438
-55	-50	10265
-50	-45	11157
-45	-40	12375
-40	-35	13318
-35	-30	14477
-30	-25	15555
-25	-20	16705
-20	-15	18099
-15	-10	18919
-10	-5	20247
-5	0	21393
0	5	22906
5	10	23803
10	15	24812
15	20	25583
20	25	25704
25	30	26204
30	35	27050
35	40	27303
40	45	26956
45	50	26271
50	55	26204
55	60	25688
60	65	25282
65	70	24505
70	75	24056
75	80	22963
80	85	22005
85	90	20609
90	95	19411
95	100	18466
100	105	17486
105	110	16232
110	115	15587
115	120	14542
120	125	13660
125	130	12822
130	135	12074
135	140	11086
140	145	10415
145	150	9568
150	155	9047
155	160	8611
160	165	7690
165	170	7137
170	175	6629
175	180	6111
180	185	5581
185	190	5311
190	195	4756
195	200	4461
200	205	4108
205	210	3758
210	215	3330
215	220	3030
220	225	2815
225	230	2609
230	235	2362
235	240	2139
240	245	1930
245	250	1851
